name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Vishal Sharma,http://www.espncricinfo.com/ci/content/player/317711.html,"November 14, 1987, Hyderabad ",Hyderabad (India),11.07,474,13,7,0,37,0,17,12,3,155,1,32.70,0
Ved Prakash,http://www.espncricinfo.com/ci/content/player/390727.html,"December 29, 1984, Jammu ",Jammu & Kashmir,0,2,0,0,0,0,0,1,1,0,0,0,0,0
Arpit  Vasavada,http://www.espncricinfo.com/ci/content/player/379230.html,"October 28, 1988, Rajkot, Saurashtra ",Saurashtra,33.88,6903,330,57,16,205,4,86,53,6,2711,2,39.27,0
Jatin Wadhwan,http://www.espncricinfo.com/ci/content/player/960071.html,"September 15, 1994, Jammu ","Jammu & Kashmir,",15.00,52,1,1,0,30,0,2,2,0,30,2,57.69,0
Kanhaiya Wadhawan,http://www.espncricinfo.com/ci/content/player/1170217.html,"September 27, 2001, Jammu ",Jammu & Kashmir,12.00,34,4,1,0,24,0,2,1,0,24,0,70.58,0
Jitin Wadhawan,http://www.espncricinfo.com/ci/content/player/854235.html,"September 15, 1994, Jammu ","Jammu & Kashmir,",3.00,11,1,0,0,5,0,2,2,0,6,0,54.54,0
Ashwin Yadav,http://www.espncricinfo.com/ci/content/player/26443.html,"September 10, 1987, Hyderabad, Andhra Pradesh ","Hyderabad (India),",9.23,455,13,2,0,28*,0,19,14,6,120,0,26.37,0
Vikrant Yadav,http://www.espncricinfo.com/ci/content/player/271930.html,"December 14, 1982, Udaipur, Rajasthan ",Rajasthan,9.50,141,3,1,0,15,0,7,4,3,38,0,26.95,0
Jayant Yadav,http://www.espncricinfo.com/ci/content/player/447587.html,"January 22, 1990, Delhi ","India,",45.60,515,28,1,1,104,1,6,4,1,228,0,44.27,0
Joga Trinadh Yadav,http://www.espncricinfo.com/ci/content/player/279560.html,"August 2, 1987, Visakhapatnam ",Andhra,38.00,102,4,2,0,28*,0,4,4,2,76,0,74.50,0
Sarag Udheshi,http://www.espncricinfo.com/ci/content/player/1159736.html,"October 14, 1986, Mumbai ",Puducherry,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Jitender Tarsemlal Billa,http://www.espncricinfo.com/ci/content/player/279654.html,"December 14, 1986, Raisinghnagar ",Haryana,10.62,228,9,3,0,20,0,16,11,8,85,0,37.28,0
Rohan  Bhosale,http://www.espncricinfo.com/ci/content/player/376113.html,"September 30, 1988, Mumbai ","Maharashtra,",22.60,2291,101,6,5,82,0,40,22,2,859,4,37.49,0
Gopesh Bhowmik,http://www.espncricinfo.com/ci/content/player/317779.html,"April 2, 1987, Agartala ",Tripura,10.00,107,9,2,0,27,0,6,3,1,50,0,46.72,0
Bhavesh Patel,http://www.espncricinfo.com/ci/content/player/318061.html,"September 30, 1987, Mumbai ",Mumbai,-,40,2,0,0,8*,0,2,1,2,12,0,30.00,0
Ankit Bawne,http://www.espncricinfo.com/ci/content/player/327123.html,"December 17, 1992, Paitha, Aurangabad ","Delhi Daredevils,",50.34,12762,672,39,32,258*,17,140,90,23,5890,58,46.15,0
Kamal Benwal,http://www.espncricinfo.com/ci/content/player/340606.html,date unknown ,Haryana,42,105,4,1,1,52,0,3,3,1,84,0,80,0
Abhimanyu Easwaran,http://www.espncricinfo.com/ci/content/player/699491.html,"September 6, 1995, Dehra Dun, Uttar Pradesh ","Bengal,",50.25,6979,418,42,16,201*,11,77,44,7,3518,11,50.40,0
Kevin D'Costa,http://www.espncricinfo.com/ci/content/player/849779.html,"September 17, 1994 ","Goa,",-,12,2,0,0,13*,0,3,5,3,13,0,108.33,0
Suraj Dongre,http://www.espncricinfo.com/ci/content/player/390621.html,"December 27, 1989, Belgaum, Karnataka ",Goa,12.50,97,2,0,0,13,0,2,1,0,25,1,25.77,0
Aniket Desai,http://www.espncricinfo.com/ci/content/player/290637.html,"August 29, 1988, Mapusa, Goa ",Goa,7.50,173,8,3,0,37,0,8,6,0,60,0,34.68,0
Mohsin Ahmedbhai Dodia,http://www.espncricinfo.com/ci/content/player/376103.html,"June 7, 1984, Bhavnagar, Saurashtra ",Saurashtra,21.70,577,32,1,1,65,0,10,6,0,217,0,37.60,0
Deepak Sharma,http://www.espncricinfo.com/ci/content/player/317778.html,"May 1, 1984, Delhi ",Assam,19.43,832,30,6,0,46,0,17,9,1,311,3,37.37,0
A Diwedi,http://www.espncricinfo.com/ci/content/player/290654.html,date unknown ,Uttar Pradesh,-,-,-,1,-,-,-,-,2,-,-,-,-,0
Pushkaraj Chavan,http://www.espncricinfo.com/ci/content/player/399861.html,"May 18, 1989, Mumbai ","Mumbai Under-15s,",22.00,103,10,2,1,65,0,3,2,0,66,0,64.07,0
Pritam Debnath,http://www.espncricinfo.com/ci/content/player/380101.html,"July 25, 1987, Guwahati ",Assam,8.71,151,6,1,0,22,0,8,5,1,61,1,40.39,0
Rahul Chikhalkar,http://www.espncricinfo.com/ci/content/player/376115.html,"November 5, 1983 ",Vidarbha,3.00,18,0,1,0,4,0,2,1,0,6,0,33.33,0
