name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Shelley Shaurya,http://www.espncricinfo.com/ci/content/player/626295.html,"September 17, 1993, Delhi ","Delhi,",0.00,6,0,0,0,0,0,2,1,0,0,0,0.00,0
Shashank Singh,http://www.espncricinfo.com/ci/content/player/377534.html,"November 21, 1991 ","Delhi Daredevils,",42.33,135,16,1,1,63*,0,4,4,1,127,2,94.07,0
Sharun Kumar,http://www.espncricinfo.com/ci/content/player/1159714.html,"July 22, 1998, Salem, Tamil Nadu ",Tamil Nadu,-,9,0,0,0,3*,0,1,1,1,3,0,33.33,0
Raghu Sharma,http://www.espncricinfo.com/ci/content/player/1122621.html,"March 11, 1993, Jalandhar, Punjab ",Punjab,2.00,43,1,2,0,6,0,5,3,2,6,0,13.95,0
Varunesh Sharma,http://www.espncricinfo.com/ci/content/player/529558.html,"December 7, 1988, Noida, Madhya Pradesh ",Madhya Pradesh Cricket Association XI,10.00,11,0,0,0,6*,0,2,2,1,10,0,90.90,0
Prabhakar More,http://www.espncricinfo.com/ci/content/player/31266.html,date unknown ,Maharashtra,-,-,-,1,-,-,-,-,2,-,-,-,-,0
Monu Kumar,http://www.espncricinfo.com/ci/content/player/694209.html,"November 5, 1994, Ranchi, Bihar ","Chennai Super Kings,",7.00,20,3,3,0,17*,0,5,10,2,21,1,105.00,0
Karaparambil Monish,http://www.espncricinfo.com/ci/content/player/604714.html,"September 8, 1990, Mumbai ",Kerala,19.33,1316,50,17,2,75*,0,27,20,3,464,5,35.25,0
Nayan Mongia,http://www.espncricinfo.com/ci/content/player/31036.html,"December 19, 1969, Baroda, Gujarat ","India,",24.03,3742,159,99,6,152,1,68,44,8,1442,5,38.53,8
Mohit Mongia,http://www.espncricinfo.com/ci/content/player/1131571.html,"June 20, 1999 ","Baroda,",9.66,25,3,2,0,13,0,3,4,0,29,1,116.00,0
Dinesh Mongia,http://www.espncricinfo.com/ci/content/player/31034.html,"April 17, 1977, Chandigarh ","India,",27.95,1721,122,21,4,159*,1,51,57,7,1230,8,71.47,0
